,Frequency
2021-12-25,0
2021-12-26,1
2021-12-27,0
2021-12-28,1
2021-12-29,1
2021-12-30,0
2021-12-31,0
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,1
2022-01-08,2
2022-01-09,0
2022-01-10,1
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,1
2022-01-15,2
2022-01-16,0
2022-01-17,8
2022-01-18,4
2022-01-19,2
2022-01-20,1
2022-01-21,2
2022-01-22,4
2022-01-23,0
2022-01-24,3
2022-01-25,1
2022-01-26,3
2022-01-27,4
2022-01-28,4
2022-01-29,3
2022-01-30,4
2022-01-31,0
2022-02-01,1
2022-02-02,4
2022-02-03,3
2022-02-04,2
2022-02-05,1
2022-02-06,0
2022-02-07,2
2022-02-08,1
2022-02-09,6
2022-02-10,7
2022-02-11,0
2022-02-12,0
2022-02-13,5
2022-02-14,4
2022-02-15,0
2022-02-16,1
2022-02-17,4
2022-02-18,1
2022-02-19,2
2022-02-20,1
2022-02-21,5
2022-02-22,3
2022-02-23,2
2022-02-24,5
2022-02-25,3
2022-02-26,3
2022-02-27,1
2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,4
2022-03-04,4
2022-03-05,1
2022-03-06,2
2022-03-07,0
2022-03-08,1
2022-03-09,1
2022-03-10,1
2022-03-11,1
2022-03-12,1
2022-03-13,4
2022-03-14,6
2022-03-15,1
2022-03-16,1
2022-03-17,1
2022-03-18,1
2022-03-19,0
2022-03-20,2
2022-03-21,2
2022-03-22,11
2022-03-23,2
2022-03-24,3
2022-03-25,1
2022-03-26,2
2022-03-27,2
2022-03-28,0
2022-03-29,0
2022-03-30,3
2022-03-31,0
2022-04-01,3
2022-04-02,1
2022-04-03,1
2022-04-04,1
2022-04-05,0
2022-04-06,0
2022-04-07,1
2022-04-08,3
2022-04-09,0
2022-04-10,1
2022-04-11,0
2022-04-12,2
2022-04-13,2
2022-04-14,2
2022-04-15,2
2022-04-16,1
2022-04-17,0
2022-04-18,3
2022-04-19,0
2022-04-20,0
2022-04-21,0
2022-04-22,1
2022-04-23,0
2022-04-24,1
2022-04-25,3
2022-04-26,1
2022-04-27,1
2022-04-28,1
2022-04-29,0
2022-04-30,0
2022-05-01,1
2022-05-02,1
2022-05-03,1
2022-05-04,1
2022-05-05,3
2022-05-06,0
2022-05-07,3
2022-05-08,4
2022-05-09,1
2022-05-10,2
2022-05-11,1
2022-05-12,2
2022-05-13,6
2022-05-14,1
2022-05-15,1
2022-05-16,0
2022-05-17,1
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-21,1
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,0
2022-05-26,1
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,1
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,1
2022-06-14,1
2022-06-15,0
2022-06-16,3
2022-06-17,1
2022-06-18,0
2022-06-19,1
2022-06-20,1
2022-06-21,0
2022-06-22,0
2022-06-23,0
