ID,"Account type
""Identified
Anonymous
Media""",Tweet Type,Tweet Type (2),Tweet Type (3),Date posted,Screenshot,Tweet ID,Tweet,Content type
00-1,Identified,Reply,,,12/26/21 22:35,00-1.png,1475113095395966978,"@_ultravioletred @jersonality If their ED was done by a CPP cadre, the educator would've been reprimanded for sure. Whoever that educator is, they're probably still thinking in the 90s. Wake up kas, RA/RJ split is not that relevant anymore, lol. Embrace your comrades like what Neri, Labog, and Zarate did.",Rational
00-2,Identified,Reply,,,12/28/21 13:25,00-2.png,1475699422982189061,@lukatmhe Colmenarez family ay part sa legal front ng NPA. At saka may first cousin si Angel Locsin na big time drug dealer ng shabu sa Cebu. Siya ay former Local Beauty Queen. Mismo si Neri Colmenarez naki usap sa mga police na wag galawin or itumba.,Rational
00-3,Anonymous,Reply,,,12/29/21 20:47,00-3.png,1476173017458016256,"@weirdnow1 @pnagovph yay 😂😂😂 kaya pa nmn mag pakamatay yang sina Elago,Zarate,Colmenares,Nato Reyes sa pakiki bakbakan.Tanggaaa yung mga nasapi sa NPA",Emotional
00-4,Anonymous,Reply,,,01/07/22 14:37,00-4.png,1479341371219902468,"@ColmenaresPH Shut Up Colmenares NPA. SALOT KA
 
 #Nerveagain",Emotional
00-5,Anonymous,Reply,,,01/08/22 06:25,00-5.png,1479580070922846209,AHAHAHAHA neri niyo NPA,Emotional
00-6,Anonymous,Text,,,01/08/22 08:48,00-6.png,1479616060944879617,"Hanggang sa Ngayon walang statement Ang mga hinayupak na CPP NPA si Marco Valbuena at mga Makabayan Bloc hinggil sa pagkalagas Ng tatlong leader nila sa Mindanao ,Colmenares Bata mo lagas na! Ano na Naman mga kwento nyo?",Rational
00-7,Anonymous,Reply,,,01/10/22 14:24,00-7.png,1480425377814048772,"@KoigoesB The NPA was a major contributor to his father's downfall. He really needs to let them have it, for himself and the country. We have teached Sri Lanka's awakening against the Tamils. Jail the likes of Sarah, Neri and Teddy. Enough commie BS. No more fish talks.",Transactional
00-8,Identified,Reply,,,01/14/22 22:52,00-8.png,1482002779040215043,@News5PH Si colmenares NPA pala to hndj si Carpio,Emotional
00-9,Anonymous,Reply,,,01/15/22 06:32,00-9.png,1482118373672878085,@News5PH eh ang @BayanMuna gaano kadami ang kasalanan nila? papatawa itong si @ColmenaresPH . patigasan na ng mukha. kung makaakusa ng ibang tao akala mo napakalinis. eh daming kabataan na namatay dahil sa NPA at isa si Colmenares ang dahilan bakit sumanib ang mga iyon,Emotional
00-10,Anonymous,Reply,,,01/15/22 19:21,00-10.png,1482312089351819267,"@Fairboz1 Sino ka para magsasabi sa amin kung sinong deserving? Dahil sa totohanan lang, ikaw Colmenares at mga kapanalig mong CPP NPA NDF ang tunay na SALOT ng Bayang ito.",Emotional
00-11,Anonymous,Reply,,,01/17/22 00:11,00-11.png,1482747377312493570,"kahit naman walang pandemic. hinaharang mo ang pagbili ng mga military infrastructure. so ULOL ka lang talaga. NPA REPRESENTATIVE NERI COLMENARES!
 
 HUWAG IBOTO!",Emotional
00-12,Anonymous,Reply,,,01/17/22 00:20,00-12.png,1482749501299433473,"@ColmenaresPH Para maubos na ang mga NPA. Sana nga tamaan ka na rin ng bala Colmenares. Kahit ligaw lang. At di mo naman kailangang intindihin iyan, basta kailangan iyan, para sa tulad niyo... Mga salot",Emotional
00-13,Anonymous,Text,,,01/17/22 00:33,00-13.png,1482753007200915456,"To NPA representative neri colmenares
 
 The Philippine Army, through its Armor Division, has acquired a newly delivered 15 M125A2 Armored Mortar Carrier (AMC) equipped with 120mm Mounted Mortar System (MMS) from Israel's Elbit Systems on December 29, 2021.
 
 https://t.co/LQ1qLRW3SX https://t.co/ecBD3ptX0x",Rational
00-14,Anonymous,Reply,,,01/17/22 02:49,00-14.png,1482786994036125703,"@IceMixch @ColmenaresPH Para yan sa mga alipores ni colmenares, pra maubos na mga npa sa bundok 🤣🤣🤣",Emotional
00-15,Identified,Reply,,,01/17/22 08:49,00-15.png,1482877781948002305,@ColmenaresPH Neri boy diba npa ka takot kna ba bka i battery ka ng armalight or gunship ka sa kuta mo?,Emotional
00-16,Anonymous,Reply,,,01/17/22 11:27,00-16.png,1482917342535241734,@ColmenaresPH It will be used to finished off terrorist like you ... mga salot kasi kayo sa lipunan.. kayo ang nangugulo sa tahimik na bayan nato... neri you are a terrorist npa,Emotional
00-17,Identified,Reply,,,01/17/22 13:36,00-17.png,1482949923226243076,"@ColmenaresPH COLMENARES, you are undeserving as a government officials. You better off go to mountain and stay with your comrades NPA.",Transactional
00-18,Identified,Reply,,,01/17/22 15:08,00-18.png,1482973181153533953,@loidasandiego77 Hahaha pasalamat itong si colmenares at hindi pinutol ang titi nito kulang pa yan parusa sa kagaya nyang pasaway sa gobyerno at kahit sabihin niyang tinumbong pa hindi ko ibubuto ang isang kasapi ng teroristang npa,Emotional
00-19,Identified,Reply,,,01/18/22 06:19,00-19.png,1483202289594732544,"@IceMixch @ColmenaresPH Alangan naman giyerahin ang sariling kasundaluhan, syempre ang mga alagad ni Colmenares na NPA at kailangan ba dapat may giyera para bumili? Palibhasa purp kayong mga troll ng Ina Nyo.",Emotional
